1 -436.270000 -753.050000 -177.050000 232.246063
2 -918.025000 -1769.100000 -248.450000 476.775510
3 -1266.665000 -2241.050000 -382.050000 596.831324
4 -1553.055000 -2711.250000 -526.050000 732.178964
5 -1850.825000 -3395.700000 -622.050000 891.092613
6 -2100.900000 -3805.650000 -730.850000 984.625722
7 -2316.845000 -4288.100000 -795.750000 1089.298195
8 -2554.845000 -4534.000000 -857.600000 1198.678379
9 -2763.250000 -5002.600000 -917.950000 1298.976400
10 -2956.390000 -5197.750000 -960.150000 1374.181378
11 -3185.370000 -5588.800000 -1055.350000 1478.690903
12 -3387.675000 -5967.450000 -1131.250000 1561.586521
13 -3575.030000 -6439.650000 -1226.250000 1649.007983
14 -3819.665000 -6812.150000 -1301.000000 1740.968279
15 -3992.040000 -7080.600000 -1322.900000 1822.469001
16 -4146.405000 -7302.750000 -1390.100000 1886.854196
17 -4301.500000 -7636.850000 -1446.900000 1965.722478
18 -4444.835000 -7855.550000 -1496.650000 2008.534186
19 -4600.845000 -8014.950000 -1528.900000 2051.213757
20 -4757.485000 -8337.100000 -1590.050000 2128.684146
21 -4890.260000 -8520.350000 -1621.400000 2181.067220
22 -5016.780000 -8686.050000 -1656.150000 2222.312355
23 -5157.185000 -8845.050000 -1693.000000 2275.421788
24 -5285.705000 -9038.050000 -1712.450000 2333.135076
25 -5413.550000 -9240.900000 -1737.150000 2386.275462
26 -5523.665000 -9437.500000 -1803.000000 2429.016587
27 -5644.150000 -9573.400000 -1851.150000 2470.346855
28 -5756.935000 -9645.850000 -1900.200000 2494.599178
29 -5858.705000 -9847.350000 -1924.350000 2536.113714
30 -5966.700000 -10100.050000 -1939.850000 2575.636041
31 -6066.995000 -10277.050000 -1948.950000 2624.674539
32 -6179.875000 -10477.450000 -1996.400000 2669.019025
33 -6287.615000 -10655.950000 -1999.750000 2723.912770
34 -6395.485000 -10838.150000 -2008.750000 2770.450164
35 -6502.525000 -11082.450000 -2033.200000 2809.771520
36 -6587.330000 -11283.000000 -2064.300000 2852.955137
37 -6683.380000 -11429.050000 -2085.900000 2900.140627
38 -6778.860000 -11566.700000 -2103.300000 2932.274895
39 -6863.045000 -11636.850000 -2115.700000 2966.976067
40 -6948.315000 -11775.850000 -2147.900000 2998.688596
41 -7034.480000 -11926.850000 -2158.000000 3044.244407
42 -7117.635000 -12093.450000 -2179.450000 3087.040943
43 -7200.915000 -12224.300000 -2211.350000 3121.882627
44 -7275.635000 -12317.150000 -2239.400000 3146.861013
45 -7362.120000 -12421.050000 -2227.850000 3181.125584
46 -7446.200000 -12685.700000 -2263.500000 3236.813341
47 -7518.890000 -12789.450000 -2296.600000 3260.544877
48 -7594.530000 -12942.800000 -2293.200000 3307.777261
49 -7666.475000 -13100.850000 -2306.550000 3340.128590
50 -7743.145000 -13187.900000 -2304.200000 3373.392075
51 -7827.475000 -13317.450000 -2345.650000 3404.864699
52 -7887.275000 -13447.650000 -2355.200000 3437.728618
53 -7961.980000 -13587.600000 -2361.250000 3479.938813
54 -8029.110000 -13717.900000 -2384.100000 3509.815022
55 -8098.410000 -13903.950000 -2389.800000 3545.053910
56 -8154.755000 -14026.250000 -2404.000000 3571.667595
57 -8215.500000 -14156.350000 -2418.750000 3606.499947
58 -8274.025000 -14299.000000 -2445.500000 3640.124777
59 -8348.880000 -14448.450000 -2438.200000 3675.777287
60 -8403.360000 -14610.350000 -2457.500000 3707.535461
61 -8461.060000 -14676.550000 -2435.300000 3729.658597
62 -8532.500000 -14843.650000 -2446.000000 3768.966590
63 -8585.815000 -14967.500000 -2457.500000 3788.553572
64 -8653.315000 -15101.150000 -2467.850000 3827.153186
65 -8708.620000 -15228.550000 -2486.350000 3852.502728
66 -8767.330000 -15338.600000 -2493.450000 3888.331330
67 -8814.665000 -15390.750000 -2495.400000 3911.927077
68 -8870.965000 -15556.150000 -2492.050000 3960.474817
69 -8932.655000 -15632.200000 -2488.450000 3988.421028
70 -8985.270000 -15709.250000 -2491.550000 4011.921481
71 -9030.780000 -15777.200000 -2474.500000 4036.755838
72 -9079.790000 -15832.800000 -2471.000000 4061.510482
73 -9133.460000 -15880.000000 -2487.250000 4078.856833
74 -9200.900000 -16006.100000 -2512.600000 4115.697610
75 -9243.695000 -16133.850000 -2491.050000 4151.077572
76 -9305.875000 -16262.650000 -2483.300000 4194.198431
77 -9358.075000 -16346.850000 -2482.600000 4228.515862
78 -9390.800000 -16418.600000 -2480.950000 4246.322959
79 -9437.660000 -16539.600000 -2478.300000 4272.724304
80 -9477.090000 -16614.600000 -2473.500000 4293.298433
81 -9535.660000 -16768.000000 -2470.900000 4332.310038
82 -9590.515000 -16892.150000 -2476.900000 4365.397768
83 -9640.830000 -16971.150000 -2496.000000 4392.387804
84 -9680.175000 -17061.600000 -2498.550000 4414.102962
85 -9725.510000 -17174.200000 -2483.950000 4449.962575
86 -9765.045000 -17230.250000 -2466.950000 4473.028099
87 -9804.740000 -17293.150000 -2468.950000 4500.822695
88 -9845.725000 -17428.550000 -2447.900000 4531.450206
89 -9890.105000 -17484.200000 -2432.550000 4560.110046
90 -9926.445000 -17583.950000 -2436.100000 4588.340669
91 -9951.065000 -17652.950000 -2433.900000 4603.076506
92 -9983.190000 -17704.400000 -2431.050000 4631.955396
93 -10017.060000 -17770.750000 -2412.850000 4659.138404
94 -10050.960000 -17901.150000 -2404.200000 4691.937144
95 -10093.820000 -17988.800000 -2403.050000 4727.667042
96 -10141.585000 -18143.750000 -2401.000000 4769.914868
97 -10192.315000 -18200.150000 -2391.450000 4798.428063
